User Input,Chatbot Response,Timestamp
hello,Hello,2025-03-12 19:31:32
how is going,"Mindfulness is the practice of being fully present in the moment, observing thoughts and feelings without judgment.",2025-03-12 19:31:51
hi,Hello,2025-03-12 19:32:01
hello,"I'm fine, thank you",2025-03-12 19:32:03
hello,Nothing much,2025-03-12 19:32:08
hello,Hey,2025-03-12 19:32:13
hello,Hello,2025-03-12 19:32:14
hello,Hello,2025-03-12 19:32:16
hello,Nothing much,2025-03-12 19:32:18
hello,"I'm fine, thank you",2025-03-12 19:32:20
hello,Hi there,2025-03-12 19:32:23
hey wasup,Nothing much,2025-03-12 19:32:47
hey,Hi there,2025-03-12 19:32:56
hey,Nothing much,2025-03-12 19:34:44
about,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-03-12 19:34:50
about you,My purpose is to assist you,2025-03-12 19:34:55
About you,My purpose is to assist you,2025-03-12 19:35:06
hobby,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-03-12 19:36:03
budget,"A good budgeting strategy is to use the 50/30/20 rule. This means allocating 50% of your income towards essential expenses, 30% towards discretionary expenses, and 20% towards savings and debt repayment.",2025-03-12 19:36:10
joke,Why donâ€™t scientists trust atoms? Because they make up everything!,2025-03-12 19:36:26
technology,"Predicting the exact state of technology in the future is challenging, but progress is expected to be exponential.",2025-03-12 19:36:49
